scale,seed,accuracy,f1
0.01,42,0.9152542372881356,0.8781415099391529
0.01,123,0.9156474890872626,0.8767781508776253
0.01,2025,0.9124228243344213,0.8716877370759762
0.1,42,0.9168272444846435,0.883088168518701
0.1,123,0.9154508631876991,0.8782779627422248
0.1,2025,0.9136419049117149,0.8814063718606133
1.0,42,0.9168272444846435,0.8819199652273082
1.0,123,0.9173777970034213,0.8870850711014103
1.0,2025,0.9184789020409768,0.8877905587242078
10.0,42,0.9081757049038499,0.8688361879349475
10.0,123,0.9099060128200086,0.8811129608329309
10.0,2025,0.9143104329702308,0.8710856711208381
100.0,42,0.8860749537929136,0.8304557541090863
100.0,123,0.8829682645798105,0.8272647477612622
100.0,2025,0.8809233552243502,0.8257764522636499
1000.0,42,0.8444295882653663,0.7844986126324405
1000.0,123,0.8462385465413504,0.7908936208188189
1000.0,2025,0.8411262731526997,0.7812043741172509
